id,Rep,FID_1,Yield,Duration,Blue,Green,Red,Redage,NIR,ndvi_inp,arvi_inp,MCARI,MCARI1,MCARI2,LAI,EVI
5,3,43,2.165,3,0.034802698,0.095188774,0.041329455,0.182731375,0.445824921,0.830322967,0.806125013,-0.14892508,0.66649401,-3.122426476,5.059993661,0.705787117
5,1,51,2.099105,3,0.040503081,0.103117436,0.048189025,0.19340311,0.450145036,0.806599512,0.779159048,-0.141903775,0.664504976,-4.092178524,4.894451393,0.700024918
5,2,71,2.129421,3,0.043728562,0.104001336,0.053438025,0.186689436,0.404127106,0.766424402,0.729720006,-0.112230175,0.583871043,18.55921501,4.614109475,0.627669193
10,3,42,3.191093,3,0.031641901,0.080965906,0.038262391,0.157009058,0.411166266,0.829728742,0.803166468,-0.136808618,0.603599062,-4.528089193,5.05584716,0.664274031
10,2,60,3.330393,3,0.034817088,0.079145677,0.043121669,0.152428508,0.397741169,0.804376029,0.771015224,-0.13170424,0.566849531,-13.45112221,4.878935933,0.635362584
10,1,65,2.74718,3,0.032934986,0.079839289,0.039279275,0.154115811,0.379463732,0.812394361,0.785344969,-0.132289787,0.553139242,-25.69876993,4.934887853,0.62162442
22,2,48,3.487597,3,0.034101117,0.080510516,0.040592039,0.154984728,0.408549368,0.819246062,0.793329149,-0.131937476,0.592131378,-5.836144873,4.982699022,0.658787402
22,1,50,2.952141,3,0.04357899,0.088517904,0.055771705,0.157628119,0.358938307,0.731032754,0.681592946,-0.102775975,0.487643978,2.487487478,4.367146559,0.554548931
22,3,56,4.030932,3,0.032735605,0.081011705,0.037990544,0.163606167,0.450558543,0.844476041,0.824847588,-0.170422304,0.66121093,-2.52235019,5.158753817,0.719770383
23,3,45,3.148366,3,0.031928474,0.085573371,0.035905559,0.168204643,0.455699906,0.853925307,0.839047427,-0.154421961,0.681985648,-2.271096056,5.224690793,0.733050274
23,2,72,3.137235,3,0.045362309,0.090456057,0.054566676,0.154113755,0.344880328,0.726788909,0.687895123,-0.07842661,0.474039094,2.054221354,4.337533007,0.544857182
23,1,77,3.725809,3,0.036348313,0.083419815,0.045481227,0.157886565,0.405244559,0.798186708,0.762474249,-0.126806299,0.577243394,-13.20033148,4.835746849,0.639911635
34,3,68,3.044336,3,0.042678054,0.106298327,0.050994132,0.193635002,0.435446978,0.790337902,0.760245184,-0.121633781,0.639886643,-7.097618688,4.780977882,0.676221973
34,2,73,1.938988,3,0.042493306,0.104027823,0.049179409,0.191951558,0.451286823,0.803465626,0.779689424,-0.129095889,0.664598202,-4.23147636,4.872583139,0.704135498
34,1,74,2.06907,3,0.034690157,0.086250141,0.042139996,0.165852584,0.441319108,0.825672966,0.797967278,-0.139688889,0.643629748,-3.368025869,5.027545956,0.695927249
